9.075,2.546,7.179,17.97,11.2,0,86,19.2,9.011666667,2.645,7.673666667,19.51666667,4,0,56.93333333,8.533333333,18.06
9.115,2.494,7.232,18.06,0.8,0,12.8,8,9.066666667,2.561,7.504,18.86333333,4,0,53.46666667,9.066666667,17.16
9.18,2.559,9.854,17.16,0,0,0.8,4.8,9.123333333,2.533,8.088333333,17.73,4,0,33.2,10.66666667,20.06
9.29,2.519,12.636,20.06,5.6,0,6.4,8.8,9.195,2.524,9.907333333,18.42666667,2.133333333,0,6.666666667,7.2,22.36
10.7,2.396,11.597,22.36,0,0,10.4,0,9.723333333,2.491333333,11.36233333,19.86,1.866666667,0,5.866666667,4.533333333,25.27
8.23,2.44,8.606,25.27,0,0,0,4.8,9.406666667,2.451666667,10.94633333,22.56333333,1.866666667,0,5.6,4.533333333,20.08
7.75,2.48,8.516,20.08,6.4,0,0,29.6,8.893333333,2.438666667,9.573,22.57,2.133333333,0,3.466666667,11.46666667,18.08
9.71,2.467,10.637,18.08,1.6,0,1.6,5.6,8.563333333,2.462333333,9.253,21.14333333,2.666666667,0,0.533333333,13.33333333,21.39
7.87,2.392,8.405,21.39,11.2,0.8,10.4,13.6,8.443333333,2.446333333,9.186,19.85,6.4,0.266666667,4,16.26666667,18.6
8.08,2.327,8.753,18.6,0,0,1.6,4.8,8.553333333,2.395333333,9.265,19.35666667,4.266666667,0.266666667,4.533333333,8,17.51
7.87,2.261,8.37,17.51,0,0,0,0,7.94,2.326666667,8.509333333,19.16666667,3.733333333,0.266666667,4,6.133333333,17.68
7.23,2.232,7.543,17.68,0,0,0.8,0,7.726666667,2.273333333,8.222,17.93,0,0,0.8,1.6,16.52
6.75,2.244,6.864,16.52,0,0,0,0,7.283333333,2.245666667,7.592333333,17.23666667,0,0,0.266666667,0,15.18
6.51,2.248,6.529,15.18,0,0,0.8,4.8,6.83,2.241333333,6.978666667,16.46,0,0,0.533333333,1.6,14.32
6.37,2.232,6.349,14.32,2.4,0,8,16.8,6.543333333,2.241333333,6.580666667,15.34,0.8,0,2.933333333,7.2,13.93
6.48,2.339,6.315,13.93,12,10,1.6,24.8,6.453333333,2.273,6.397666667,14.47666667,4.8,3.333333333,3.466666667,15.46666667,13.99
7.31,2.462,8.001,13.99,5.6,7.2,13.6,15.2,6.72,2.344333333,6.888333333,14.08,6.666666667,5.733333333,7.733333333,18.93333333,15.32
7.59,2.745,8.062,15.32,0.8,10.4,2.4,4,7.126666667,2.515333333,7.459333333,14.41333333,6.133333333,9.2,5.866666667,14.66666667,17.46
7.29,2.578,7.27,17.46,0,1.6,13.6,22.8,7.396666667,2.595,7.777666667,15.59,2.133333333,6.4,9.866666667,14,16.61
7.11,2.528,6.801,16.61,16,38.4,47.2,5.6,7.33,2.617,7.377666667,16.46333333,5.6,16.8,21.06666667,10.8,15.23
9.05,4.101,9.408,15.23,0,1.6,4,48,7.816666667,3.069,7.826333333,16.43333333,5.333333333,13.86666667,21.6,25.46666667,20.33
17.9,6.957,45.864,20.33,92,40,76.8,26.4,11.35333333,4.528666667,20.691,17.39,36,26.66666667,42.66666667,26.66666667,44.18
58.6,7.27,64.776,44.18,24.8,0,21.6,6.4,28.51666667,6.109333333,40.016,26.58,38.93333333,13.86666667,34.13333333,26.93333333,120
22.9,4.159,26.603,120,2.4,0,0,3.2,33.13333333,6.128666667,45.74766667,61.50333333,39.73333333,13.33333333,32.8,12,78.995
14.1,3.551,16.599,78.995,17.6,7.2,51.2,0,31.86666667,4.993333333,35.99266667,81.05833333,14.93333333,2.4,24.26666667,3.2,37.99
45.3,22.968,70.041,37.99,55.2,23.2,91.2,0.8,27.43333333,10.226,37.74766667,78.995,25.06666667,10.13333333,47.46666667,1.333333333,92.73
63.5,19.284,46.38,92.73,0.8,0.8,0.8,0,40.96666667,15.26766667,44.34,69.905,24.53333333,10.4,47.73333333,0.266666667,148.5
25.5,8.393,25.626,148.5,16,8,3.2,4,44.76666667,16.88166667,47.349,93.07333333,24,10.66666667,31.73333333,1.6,77.64
22.6,13.597,25.381,77.64,37.2,6.4,15.2,7.2,37.2,13.758,32.46233333,106.29,18,5.066666667,6.4,3.733333333,62.7
33.1,11.988,23.8,62.7,0,0,0,21.6,27.06666667,11.326,24.93566667,96.28,17.73333333,4.8,6.133333333,10.93333333,72
19.6,7.377,17.473,72,0,0,0,27.2,25.1,10.98733333,22.218,70.78,12.4,2.133333333,5.066666667,18.66666667,52.73
15,5.763,13.984,52.73,0,0,0.8,12,22.56666667,8.376,18.419,62.47666667,0,0,0.266666667,20.26666667,38.61
